iter	Passed	Remaining
729	1001	370
730	1002	369
731	1003	367
732	1004	365
733	1005	364
734	1006	362
735	1007	361
736	1008	359
737	1009	358
738	1010	356
739	1011	355
740	1012	353
741	1012	352
742	1014	350
743	1015	349
744	1016	347
745	1017	346
746	1018	344
747	1019	343
748	1020	341
749	1021	340
750	1022	338
751	1023	337
752	1024	335
753	1024	334
754	1025	332
755	1026	331
756	1027	329
757	1028	328
758	1029	326
759	1030	325
760	1031	324
761	1032	322
762	1033	321
763	1034	319
764	1035	318
765	1036	316
766	1037	315
767	1038	313
768	1039	312
769	1040	310
770	1041	309
771	1042	307
772	1043	306
773	1044	304
774	1045	303
775	1046	302
776	1047	300
777	1048	299
778	1049	297
779	1051	296
780	1052	295
781	1053	293
782	1054	292
783	1055	290
784	1056	289
785	1057	288
786	1058	286
787	1059	285
788	1060	283
789	1061	282
790	1062	280
791	1064	279
792	1065	278
793	1066	276
794	1067	275
795	1068	273
796	1069	272
797	1071	271
798	1072	269
799	1073	268
800	1074	266
801	1075	265
802	1076	264
803	1078	262
804	1079	261
805	1080	260
806	1096	262
807	1098	260
808	1100	259
809	1103	258
810	1104	257
811	1106	256
812	1107	254
813	1109	253
814	1111	252
815	1112	250
816	1114	249
817	1116	248
818	1117	247
819	1118	245
820	1120	244
821	1122	243
822	1123	241
823	1124	240
824	1125	238
825	1126	237
826	1128	235
827	1129	234
828	1130	233
829	1131	231
830	1133	230
831	1134	229
832	1135	227
833	1137	226
834	1138	224
835	1139	223
836	1140	222
837	1142	220
838	1143	219
839	1144	217
840	1145	216
841	1147	215
842	1148	213
843	1149	212
844	1150	211
845	1151	209
846	1153	208
847	1154	206
848	1155	205
849	1156	204
850	1157	202
851	1158	201
852	1159	199
853	1160	198
854	1161	197
855	1162	195
856	1163	194
857	1164	192
858	1165	191
859	1166	189
860	1167	188
861	1168	187
862	1168	185
863	1169	184
864	1171	182
865	1172	181
866	1173	179
867	1174	178
868	1175	177
869	1176	175
870	1177	174
871	1178	173
872	1179	171
873	1180	170
874	1182	168
875	1183	167
876	1184	166
877	1185	164
878	1187	163
879	1188	162
880	1190	160
881	1191	159
882	1192	157
883	1193	156
884	1194	155
885	1195	153
886	1196	152
887	1197	151
888	1198	149
889	1199	148
890	1201	146
891	1202	145
892	1203	144
893	1204	142
894	1204	141
895	1205	139
896	1206	138
897	1207	137
898	1209	135
899	1209	134
900	1210	133
901	1211	131
902	1212	130
903	1213	128
904	1214	127
905	1215	126
906	1217	124
907	1218	123
908	1218	122
909	1220	120
910	1220	119
911	1221	117
912	1222	116
913	1223	115
914	1224	113
915	1225	112
916	1226	111
917	1227	109
918	1228	108
919	1229	106
920	1230	105
921	1231	104
922	1232	102
923	1233	101
924	1234	100
925	1235	98
926	1236	97
927	1237	96
928	1238	94
929	1239	93
930	1240	91
931	1241	90
932	1242	89
933	1243	87
934	1244	86
935	1245	85
936	1246	83
937	1247	82
938	1248	81
939	1249	79
940	1250	78
941	1252	77
942	1253	75
943	1254	74
944	1255	73
945	1256	71
946	1256	70
947	1257	69
948	1259	67
949	1259	66
950	1260	64
951	1261	63
952	1263	62
953	1264	60
954	1265	59
955	1266	58
956	1267	56
957	1269	55
958	1270	54
959	1271	52
960	1272	51
961	1273	50
962	1274	48
963	1275	47
964	1276	46
965	1277	44
966	1278	43
967	1279	42
968	1280	40
969	1282	39
970	1283	38
971	1284	36
972	1285	35
973	1286	34
974	1287	33
975	1288	31
976	1289	30
977	1290	29
978	1290	27
979	1291	26
980	1292	25
981	1293	23
982	1294	22
983	1295	21
984	1296	19
985	1297	18
986	1298	17
987	1299	15
988	1300	14
989	1302	13
990	1302	11
991	1303	10
992	1304	9
993	1305	7
994	1306	6
995	1307	5
996	1308	3
997	1309	2
998	1310	1
999	1311	0
